Артикул;Номенклатура;Тип;Ед;Дополнительное описание номенклатуры;Картинка;Цена
;Pilot-420 20".13;товар;шт;1-ск, рама сталь, AL обода, зад.нож.тормоз, передний AL тормоз V-типа, длинные крылья из нержавеющей стали, покрышки KENDA, багажник, насос, звонок;;7720
;Pilot-430 20";товар;шт;3-ск, рама  STEEL (15"), двойные AL обода, зад. ножн. тормоз SHIMANO, длинные крылья из нержавеющей стали, покрышки KENDA, багажник, зеркало, насос, звонок;;12465
;Pilot-450 20";товар;шт;6-ск, рама  STEEL (15"), SHIMANO SL-RS35/RD-TY21/MF-TZ20, AL чёрные обода, AL тормоза V-типа, длинные крылья из нержавеющей стали, багажник, зеркало, насос, звонок;;10155
;Pilot-670 20" (новая модель);товар;шт;8-ск, рама AL (13"), SHIMANO SL-M360/RD-2400/CS-HG31, двойные AL обода, зад. ножн. тормоз SHIMANO, длинные пластиковые крылья, покрышки KENDA, седло VELO, звонок;;22070
;Pilot-710 24";товар;шт;Велосипед 24" STELS Pilot-710 1-ск, рама сталь,  длинные крылья из нержавеющей стали, зад.нож.тормоз, AL обода, багажник, звонок, насос;;7310
;Pilot-730 24";товар;шт;3-ск, рама  STEEL (16"), SHIMANO Nexus, двойные AL обода, зад. ножн. тормоз SHIMANO, длинные крылья из нержавеющей стали, покрышки KENDA, багажник, зеркало, насос, звонок;;13955
;Pilot-750 24";товар;шт;6-ск, рама  STEEL (16"), SHIMANO MF-TZ20/SL-RS35/RD-TY21, тормоза V-типа POWER, двойные AL обода,  длинные крылья из нержавеющей стали, покрышки CHAO YANG, багажник, зеркало, насос, звонок;;11250
;Pilot-810 24";товар;шт;1-ск, рама AL (16"), двойные AL обода, зад. ножн. тормоз KT, длинные крылья из нержавеющей стали, покрышки KENDA, багажник, зеркало, насос, звонок;;12995
;Подростковые ;;;;;
;Pilot-200 Gent 20";товар;шт;1-ск., рама  STEEL (11"), AL обода, задн. ножной тормоз, передний тормоз V-типа, стальные крылья, звонок;;9620
;Pilot-200 Lady 20" (новый дизайн);товар;шт;1-ск, рама  STEEL (12"), длинные стальные крылья, руль с накладками, зад. ножной тормоз, багажник, звонок;;9760
;Pilot-210 Gent 20";товар;шт;1-ск, рама  AL (11"), двойные AL обода, зад. ножн. тормоз, передний тормоз V-типа, короткие стальные крылья, звонок;;11645
;Pilot-210 Lady 20" (новый дизайн);товар;шт;1-ск, рама AL (11"), AL обода, стальные крылья, багажник, звонок;;13270
;Pilot-220 20".13 Girl;товар;шт;3-ск, рама AL (280мм), SHIMANO Nexus, AL обода, зад. ножной тормоз, передний тормоз V-типа, длинные пластиковые крылья, комфортное седло, багажник, зад. фонарь, перед. фара, звонок;;12465
;Pilot-220 20".14 Girl;товар;шт;3-ск, рама AL (280мм), SHIMANO Nexus, AL обода, зад. ножной тормоз, передний тормоз V-типа, длинные пластиковые крылья, комфортное седло, багажник, зад. фонарь, перед. фара, звонок;;15170
;Pilot-220 Gent 20";товар;шт;3-ск, рама AL (11"), SHIMANO, двойные AL обода, зад. ножной тормоз, передний тормоз V-типа, стальные крылья, звонок;;13955
;Pilot-230 20".14 Boy;товар;шт;6-ск, рама  AL (280мм), SHIMANO SL-RS36/RD-TY21/MF-TZ20, AL тормоза V-типа, AL обода, покрышки KENDA, короткие AL крылья, комф. седло CIONLLI, защита зад. перекл., звонок;;13815
